nome,kcal,proteina,carbo,gordura
"Abacate, polpa, in natura, Brasil",76,"1,15","5,84","6,21"
"Abacaxi, cozido, caramelizado, Brasil",136,"0,55","33,5","0,25"
"Abacaxi, grelhado, c/ cobertura de chocolate ao leite, Brasil",268,"3,62","33,2","13,8"
"Abacaxi, polpa, congelada, Brasil",33,"0,47","7,8","0,11"
"Abacaxi, polpa, desidratada, Brasil",279,"3,8","64,9","1,86"
"Abacaxi, polpa, grelhado, c/ canela",51,"0,7",12,"0,34"
"Abacaxi, polpa, in natura, Brasil",50,"0,68","11,6","0,33"
"Abiu, in natura, Brasil",66,"0,83","14,9","0,7"
"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal",48,"1,51","8,22","1,61"
"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",50,"1,44","10,8","0,73"
"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Brasil",41,"1,75","8,36","0,54"
"Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Brasil",13,"0,61","3,34",tr
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal",30,"0,39","5,98","0,8"
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal",30,"0,39","5,98","0,8"
"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal",32,"1,38","4,78","1,33"
"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal",33,"1,42",5,"1,34"
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil",26,"1,8","5,92","0,21"
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, Brasil",26,"1,81","5,93","0,21"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal",38,"1,18","3,89","2,52"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal",38,"1,19","3,9","2,53"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",17,"1,21","3,98","0,14"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil",17,"1,22","3,99","0,14"
"Abóbora, moranga, s/ casca, s/ sementes, crua, Brasil",16,"1,12","3,66","0,13"
"Abóbora, paulista, crua, Brasil",30,"0,64","7,87","0,14"
"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",26,"0,73","6,65","0,13"
"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil",26,"0,73","6,67","0,13"
"Abóbora, pescoço, s/ casca, s/ sementes, crua, Brasil",24,"0,67","6,12","0,12"
"Abóbora, s/ casca, s/ sementes, crua, Brasil",22,"1,05","5,03","0,18"
"Abobrinha recheada, c/ sal (abobrinha grelhada, c/ muçarela, carne bovina, patinho moído, refogado, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal)",88,"8,74","4,36","4,26"
